item,itemLabel,alias
http://www.wikidata.org/entity/Q75383564,Princess Charlotte of Croÿ,Princess Charlotte Alexandra Marie Clotilde of Croÿ
http://www.wikidata.org/entity/Q75383906,Janet Bryce,Janet Mercedes Bryce
http://www.wikidata.org/entity/Q75383906,Janet Bryce,"Janet Mercedes Mountbatten, Marchioness of Milford Haven"
http://www.wikidata.org/entity/Q75383906,Janet Bryce,"Janet Mountbatten, Marchioness of Milford Haven"
http://www.wikidata.org/entity/Q75383945,Philip Knatchbull,Hon. Philip Knatchbull
http://www.wikidata.org/entity/Q75383945,Philip Knatchbull,Hon. Philip Wyndham Ashley Knatchbull
http://www.wikidata.org/entity/Q75383945,Philip Knatchbull,Philip Wyndham Ashley Knatchbull
http://www.wikidata.org/entity/Q75383946,Timothy Knatchbull,Hon. Timothy Knatchbull
http://www.wikidata.org/entity/Q75383946,Timothy Knatchbull,Hon. Timothy Nicholas Sean Knatchbull
http://www.wikidata.org/entity/Q75383946,Timothy Knatchbull,Tim Knatchbull
http://www.wikidata.org/entity/Q75383946,Timothy Knatchbull,Timmy Knatchbull
http://www.wikidata.org/entity/Q75383946,Timothy Knatchbull,Timothy Nicholas Sean Knatchbull
http://www.wikidata.org/entity/Q75383948,Nicholas Knatchbull,Hon. Nicholas Knatchbull
http://www.wikidata.org/entity/Q75383948,Nicholas Knatchbull,Hon. Nicholas Timothy Charles Knatchbull
http://www.wikidata.org/entity/Q75383948,Nicholas Knatchbull,Nicholas Timothy Charles Knatchbull
http://www.wikidata.org/entity/Q75390868,"Thomas Anson, Viscount Anson","Thomas William Arnold Anson, Viscount Anson"
http://www.wikidata.org/entity/Q75390943,Huno Herzog von Oldenburg,Huno von Oldenburg
http://www.wikidata.org/entity/Q75390944,Felicitas-Anita Gräfin Schwerin von Krosigk,Fenita Schwerin von Krosigk
http://www.wikidata.org/entity/Q75390945,Duke Johann of Oldenburg,"Johann Friedrich Adolf von Holstein-Gottorp, Herzog von Oldenburg"
http://www.wikidata.org/entity/Q75391437,Klara-Marie von Korff gennant Schmising-Kerssenbrock,Klara-Marie Gräfin von Korff gennant Schmising-Kerssenbrock
http://www.wikidata.org/entity/Q75392006,Heinrich XIII Prinz Reuss,Heinrich Reuss
http://www.wikidata.org/entity/Q75392006,Heinrich XIII Prinz Reuss,Heinrich XIII Prinz Reuss zu Köstritz
http://www.wikidata.org/entity/Q75392006,Heinrich XIII Prinz Reuss,Prince Heinrich XIII
http://www.wikidata.org/entity/Q50220539,Prince Stefan of Serbia,Esteban Karađorđević
http://www.wikidata.org/entity/Q50220539,Prince Stefan of Serbia,Prince Stefan Karađorđević
http://www.wikidata.org/entity/Q50220539,Prince Stefan of Serbia,Prince Stefan Karageorgievich
http://www.wikidata.org/entity/Q50220539,Prince Stefan of Serbia,Stefan Karađorđević of Serbia
http://www.wikidata.org/entity/Q54162487,Jean Frances Hambro,Jean Elphinstone
http://www.wikidata.org/entity/Q54162487,Jean Frances Hambro,Jean Hambro
http://www.wikidata.org/entity/Q54162487,Jean Frances Hambro,Jean Woodroffe
http://www.wikidata.org/entity/Q54164320,Andrew Elphinstone,Andrew Charles Victor Elphinstone
http://www.wikidata.org/entity/Q57401350,Jack Brooksbank,Jack Christopher Stamp Brooksbank
http://www.wikidata.org/entity/Q58301908,Tatiana Mountbatten,Lady Tatiana Helen Georgia Mountbatten
http://www.wikidata.org/entity/Q58301908,Tatiana Mountbatten,Tatiana Helen Georgia Mountbatten
http://www.wikidata.org/entity/Q58304095,Prince Juan de Bagration-Mukhrani,His Royal Highness Prince Juan Jorge de Bagration-Mukhrani
http://www.wikidata.org/entity/Q58304095,Prince Juan de Bagration-Mukhrani,"Juan Bagration-Moukhransky, Prince Bagration-Moukhransky"
http://www.wikidata.org/entity/Q58304095,Prince Juan de Bagration-Mukhrani,Prince Juan Jorge de Bagration-Mukhrani
http://www.wikidata.org/entity/Q61855462,"Danica, Hereditary Princess of Serbia",Danica Karađorđević
http://www.wikidata.org/entity/Q61855462,"Danica, Hereditary Princess of Serbia",Danica Marinković
http://www.wikidata.org/entity/Q62938826,Prince Archie of Sussex,Archie Harrison
http://www.wikidata.org/entity/Q62938826,Prince Archie of Sussex,Archie Harrison Mountbatten-Windsor
http://www.wikidata.org/entity/Q62938826,Prince Archie of Sussex,Archie Harrison of Sussex
http://www.wikidata.org/entity/Q62938826,Prince Archie of Sussex,Archie Mountbatten-Windsor
http://www.wikidata.org/entity/Q62938826,Prince Archie of Sussex,Archie of Sussex
http://www.wikidata.org/entity/Q62938826,Prince Archie of Sussex,Archie Sussex
http://www.wikidata.org/entity/Q62938826,Prince Archie of Sussex,Archie Windsor
http://www.wikidata.org/entity/Q62938826,Prince Archie of Sussex,Baby Sussex
http://www.wikidata.org/entity/Q62938826,Prince Archie of Sussex,Prince Archie Harrison of Sussex
http://www.wikidata.org/entity/Q62938826,Prince Archie of Sussex,Son of the Duke and Duchess of Sussex
http://www.wikidata.org/entity/Q63205821,Tatiana Radziwiłł,Princess Tatania Marie Radziwill
http://www.wikidata.org/entity/Q63676181,Lena Tindall,Lena Elizabeth Tindall
http://www.wikidata.org/entity/Q63806478,Michael Bowes-Lyon,Hon. Michael Bowes-Lyon
http://www.wikidata.org/entity/Q63806478,Michael Bowes-Lyon,Hon. Michael Claude Hamilton Bowes-Lyon
http://www.wikidata.org/entity/Q63806478,Michael Bowes-Lyon,Michael Claude Hamilton Bowes-Lyon
http://www.wikidata.org/entity/Q65031050,Sofía Landaluce y Melgarejo,Sofia Landaluce y Melgareja
http://www.wikidata.org/entity/Q65031050,Sofía Landaluce y Melgarejo,"Sofia, Duchess of Calabria"
http://www.wikidata.org/entity/Q68688016,Edoardo Mapelli Mozzi,Count Edoardo Alessandro Mapelli Mozzi
http://www.wikidata.org/entity/Q68688016,Edoardo Mapelli Mozzi,Count Edoardo Mapelli Mozzi
http://www.wikidata.org/entity/Q68688016,Edoardo Mapelli Mozzi,Edoardo Alessandro Mapelli Mozzi
http://www.wikidata.org/entity/Q71582125,"Princess Olympia, Princess Napoléon",Olympia
http://www.wikidata.org/entity/Q71582125,"Princess Olympia, Princess Napoléon",Olympia Gräfin von und zu Arco-Zinneberg
http://www.wikidata.org/entity/Q71582125,"Princess Olympia, Princess Napoléon",Olympia von und zu Arco-Zinneberg
http://www.wikidata.org/entity/Q71582125,"Princess Olympia, Princess Napoléon","Princess Olympia, The Princess Napoléon"
http://www.wikidata.org/entity/Q119133052,Ernest Brooksbank,Ernest George Ronnie Brooksbank
http://www.wikidata.org/entity/Q75392606,Inés de Borbón-Dos Sicilias,Inés de Borbón-Dos Sicilias
http://www.wikidata.org/entity/Q75392606,Inés de Borbón-Dos Sicilias,Inés Maria Alicia
http://www.wikidata.org/entity/Q75392606,Inés de Borbón-Dos Sicilias,Inés María Alicia de Borbón-Dos Sicilias y Borbón-Parma
